Shadowbonobo Reforge Plot Results:
intellect, crit_rating, haste_rating, mastery_rating, versatility_rating,  DPS, DPS-Error
-1000, 1000, 2000, -2000, 0, 1.09635e+06, 236.435, 
-1000, 1000, 2000, -1000, -1000, 1.09926e+06, 236.124, 
-1000, 1000, 2000, 0, -2000, 1.10107e+06, 235.755, 
-1000, 2000, -2000, -1000, 2000, 1.09743e+06, 365.181, 
-1000, 2000, -2000, 0, 1000, 1.10035e+06, 366.05, 
-1000, 2000, -2000, 1000, 0, 1.10199e+06, 364.701, 
-1000, 2000, -2000, 2000, -1000, 1.10266e+06, 364.664, 
-1000, 2000, -1000, -2000, 2000, 1.10256e+06, 291.014, 
-1000, 2000, -1000, -1000, 1000, 1.10597e+06, 289.912, 
-1000, 2000, -1000, 0, 0, 1.10806e+06, 290.67, 
-1000, 2000, -1000, 1000, -1000, 1.10933e+06, 290.504, 
-1000, 2000, -1000, 2000, -2000, 1.10984e+06, 288.984, 
-1000, 2000, 0, -2000, 1000, 1.10436e+06, 251.149, 
-1000, 2000, 0, -1000, 0, 1.10729e+06, 249.88, 
-1000, 2000, 0, 0, -1000, 1.10919e+06, 251.56, 
-1000, 2000, 0, 1000, -2000, 1.11038e+06, 249.617, 
-1000, 2000, 1000, -2000, 0, 1.10181e+06, 242.417, 
-1000, 2000, 1000, -1000, -1000, 1.10398e+06, 240.266, 
-1000, 2000, 1000, 0, -2000, 1.10575e+06, 238.659, 
-1000, 2000, 2000, -2000, -1000, 1.09759e+06, 237.237, 
-1000, 2000, 2000, -1000, -2000, 1.09977e+06, 237.096, 
0, -2000, -2000, 2000, 2000, 1.08111e+06, 409.136, 
0, -2000, -1000, 1000, 2000, 1.09306e+06, 353.247, 
0, -2000, -1000, 2000, 1000, 1.09492e+06, 353.79, 
0, -2000, 0, 0, 2000, 1.09788e+06, 278.459, 
0, -2000, 0, 1000, 1000, 1.10011e+06, 280.721, 
0, -2000, 0, 2000, 0, 1.10199e+06, 277.65, 
0, -2000, 1000, -1000, 2000, 1.0952e+06, 242.493, 
0, -2000, 1000, 0, 1000, 1.09809e+06, 242.681, 
0, -2000, 1000, 1000, 0, 1.10021e+06, 243.695, 
0, -2000, 1000, 2000, -1000, 1.10145e+06, 244.357, 
0, -2000, 2000, -2000, 2000, 1.0888e+06, 235.656, 
0, -2000, 2000, -1000, 1000, 1.09263e+06, 235.856, 
0, -2000, 2000, 0, 0, 1.09539e+06, 236.085, 
0, -2000, 2000, 1000, -1000, 1.09712e+06, 233.634, 
0, -2000, 2000, 2000, -2000, 1.09788e+06, 236.314, 
0, -1000, -2000, 1000, 2000, 1.08621e+06, 398.984, 
0, -1000, -2000, 2000, 1000, 1.08783e+06, 402.016, 
0, -1000, -1000, 0, 2000, 1.09574e+06, 337.3, 
0, -1000, -1000, 1000, 1000, 1.0987e+06, 335.551, 
0, -1000, -1000, 2000, 0, 1.10004e+06, 338.784, 
0, -1000, 0, -1000, 2000, 1.09893e+06, 269.453, 
0, -1000, 0, 0, 1000, 1.10191e+06, 268.268, 
0, -1000, 0, 1000, 0, 1.10378e+06, 268.615, 
0, -1000, 0, 2000, -1000, 1.10479e+06, 269.857, 
0, -1000, 1000, -2000, 2000, 1.09486e+06, 242.139, 
0, -1000, 1000, -1000, 1000, 1.09815e+06, 241.791, 
0, -1000, 1000, 0, 0, 1.10105e+06, 242.858, 
0, -1000, 1000, 1000, -1000, 1.10266e+06, 243.414, 
0, -1000, 1000, 2000, -2000, 1.10314e+06, 241.481, 
