intellect, crit_rating, haste_rating, mastery_rating, versatility_rating,  DPS, DPS-Error
-3000, 3000, 5000, -3000, -2000, 1.1371e+06, 267.1, 
-3000, 3000, 5000, -1000, -4000, 1.14056e+06, 263.808, 
-3000, 5000, -5000, -1000, 4000, 1.10435e+06, 423.958, 
-3000, 5000, -5000, 1000, 2000, 1.10843e+06, 419.397, 
-3000, 5000, -5000, 3000, 0, 1.1094e+06, 418.883, 
-3000, 5000, -5000, 5000, -2000, 1.10711e+06, 418.364, 
-3000, 5000, -3000, -3000, 4000, 1.14112e+06, 425.114, 
-3000, 5000, -3000, -1000, 2000, 1.1481e+06, 426.976, 
-3000, 5000, -3000, 1000, 0, 1.15161e+06, 427.115, 
-3000, 5000, -3000, 3000, -2000, 1.15094e+06, 423.084, 
-3000, 5000, -3000, 5000, -4000, 1.14685e+06, 418.96, 
-3000, 5000, -1000, -3000, 2000, 1.16287e+06, 301.177, 
-3000, 5000, -1000, -1000, 0, 1.16885e+06, 300.369, 
-3000, 5000, -1000, 1000, -2000, 1.17067e+06, 294.837, 
-3000, 5000, -1000, 3000, -4000, 1.16877e+06, 293.12, 
-3000, 5000, 1000, -3000, 0, 1.16214e+06, 274.283, 
-3000, 5000, 1000, -1000, -2000, 1.16663e+06, 272.843, 
-3000, 5000, 1000, 1000, -4000, 1.16694e+06, 267.857, 
-3000, 5000, 3000, -3000, -2000, 1.15176e+06, 267.618, 
-3000, 5000, 3000, -1000, -4000, 1.15443e+06, 266.076, 
-3000, 5000, 5000, -3000, -4000, 1.1371e+06, 263.975, 
-1000, -5000, -3000, 5000, 4000, 1.08232e+06, 407.905, 
-1000, -5000, -1000, 3000, 4000, 1.11726e+06, 409.943, 
-1000, -5000, -1000, 5000, 2000, 1.11988e+06, 411.078, 
-1000, -5000, 1000, 1000, 4000, 1.13495e+06, 291.858, 
-1000, -5000, 1000, 3000, 2000, 1.13973e+06, 284.581, 
-1000, -5000, 1000, 5000, 0, 1.14082e+06, 286.659, 
-1000, -5000, 3000, -1000, 4000, 1.12456e+06, 253.392, 
-1000, -5000, 3000, 1000, 2000, 1.13196e+06, 251.824, 
-1000, -5000, 3000, 3000, 0, 1.13514e+06, 248.481, 
-1000, -5000, 3000, 5000, -2000, 1.13478e+06, 246.613, 
-1000, -5000, 5000, -3000, 4000, 1.10579e+06, 251.351, 
-1000, -5000, 5000, -1000, 2000, 1.11529e+06, 250.832, 
-1000, -5000, 5000, 1000, 0, 1.12116e+06, 248.396, 
-1000, -5000, 5000, 3000, -2000, 1.12313e+06, 246.046, 
-1000, -5000, 5000, 5000, -4000, 1.12148e+06, 241.547, 
-1000, -3000, -5000, 5000, 4000, 1.06275e+06, 400.552, 
-1000, -3000, -3000, 3000, 4000, 1.09903e+06, 422.863, 
-1000, -3000, -3000, 5000, 2000, 1.10064e+06, 422.757, 
-1000, -3000, -1000, 1000, 4000, 1.13198e+06, 397.993, 
-1000, -3000, -1000, 3000, 2000, 1.13644e+06, 398.337, 
-1000, -3000, -1000, 5000, 0, 1.13665e+06, 395.967, 
-1000, -3000, 1000, -1000, 4000, 1.14215e+06, 281.077, 
-1000, -3000, 1000, 1000, 2000, 1.14878e+06, 279.329, 
-1000, -3000, 1000, 3000, 0, 1.15142e+06, 276.679, 
-1000, -3000, 1000, 5000, -2000, 1.15088e+06, 275.181, 
-1000, -3000, 3000, -3000, 4000, 1.12778e+06, 260.756, 
-1000, -3000, 3000, -1000, 2000, 1.13711e+06, 260.936, 
