Shadowbonobo Reforge Plot Results:
crit_rating, haste_rating, mastery_rating,  DPS, DPS-Error
1522, 230, -1752, 927410, 262.272, 
1522, 553, -2075, 928980, 260.783, 
1522, 876, -2398, 929748, 262.164, 
1522, 1199, -2721, 929833, 264.432, 
1845, -3000, 1155, 907844, 273.332, 
1845, -2677, 832, 910605, 273.052, 
1845, -2354, 509, 913893, 267.555, 
1845, -2031, 186, 916019, 268.091, 
1845, -1708, -137, 918502, 268.23, 
1845, -1385, -460, 920538, 263.609, 
1845, -1062, -783, 922001, 263.248, 
1845, -739, -1106, 923072, 263.83, 
1845, -416, -1429, 924059, 263.383, 
1845, -93, -1752, 925126, 265.294, 
1845, 230, -2075, 927023, 263.986, 
1845, 553, -2398, 928507, 261.92, 
1845, 876, -2721, 928927, 261.983, 
2168, -3000, 832, 907861, 275.466, 
2168, -2677, 509, 910601, 272.841, 
2168, -2354, 186, 913658, 269.357, 
2168, -2031, -137, 915620, 266.34, 
2168, -1708, -460, 918201, 266.983, 
2168, -1385, -783, 920222, 264.866, 
2168, -1062, -1106, 921364, 265.418, 
2168, -739, -1429, 922578, 263.1, 
2168, -416, -1752, 923309, 263.74, 
2168, -93, -2075, 924539, 262.87, 
2168, 230, -2398, 925930, 263.257, 
2168, 553, -2721, 927565, 261.882, 
2491, -3000, 509, 907532, 272.83, 
2491, -2677, 186, 910013, 271.768, 
2491, -2354, -137, 913003, 269.674, 
2491, -2031, -460, 915217, 267.323, 
2491, -1708, -783, 917493, 268.748, 
2491, -1385, -1106, 919386, 263.239, 
2491, -1062, -1429, 920531, 262.852, 
2491, -739, -1752, 921846, 263.017, 
2491, -416, -2075, 922757, 264.121, 
2491, -93, -2398, 923994, 265.902, 
2491, 230, -2721, 925285, 261.236, 
2814, -3000, 186, 906974, 273.733, 
2814, -2677, -137, 909651, 273.482, 
2814, -2354, -460, 912748, 268.86, 
2814, -2031, -783, 914866, 266.647, 
2814, -1708, -1106, 916990, 265.179, 
2814, -1385, -1429, 918845, 263.755, 
2814, -1062, -1752, 920024, 264.173, 
2814, -739, -2075, 921270, 265, 
2814, -416, -2398, 922020, 261.902, 
2814, -93, -2721, 922916, 262.82, 
